"ID","NAME","LAT","LONG","ELEVATION"
1,"port1wnd",41.5625,-83.8125,204.32
2,"port2wnd",41.5625,-83.6875,191.6
3,"port3wnd",41.5625,-83.5625,191.08
4,"port4wnd",41.5625,-83.4375,186.96
5,"port5wnd",41.5625,-83.3125,181.6
6,"port6wnd",41.5625,-83.1875,176.96
7,"port7wnd",41.5625,-83.0625,175.2
8,"port8wnd",41.5625,-82.9375,174
9,"port9wnd",41.5625,-82.8125,175.28
10,"port10wnd",41.4375,-83.8125,200.56
11,"port11wnd",41.4375,-83.6875,202.2
12,"port12wnd",41.4375,-83.5625,200.2
13,"port13wnd",41.4375,-83.4375,197.76
14,"port14wnd",41.4375,-83.3125,192.4
15,"port15wnd",41.4375,-83.1875,183.2
16,"port16wnd",41.4375,-83.0625,175.36
17,"port17wnd",41.4375,-82.9375,174.04
18,"port18wnd",41.4375,-82.8125,178.56
19,"port19wnd",41.3125,-83.8125,208.12
20,"port20wnd",41.3125,-83.6875,208.68
21,"port21wnd",41.3125,-83.5625,205.68
22,"port22wnd",41.3125,-83.4375,210.64
23,"port23wnd",41.3125,-83.3125,213.8
24,"port24wnd",41.3125,-83.1875,202.52
25,"port25wnd",41.3125,-83.0625,193.72
26,"port26wnd",41.3125,-82.9375,210.32
27,"port27wnd",41.3125,-82.8125,219.12
28,"port28wnd",41.1875,-83.8125,215.44
29,"port29wnd",41.1875,-83.6875,218.04
30,"port30wnd",41.1875,-83.5625,222.6
31,"port31wnd",41.1875,-83.4375,227.64
32,"port32wnd",41.1875,-83.3125,224.2
33,"port33wnd",41.1875,-83.1875,216.2
34,"port34wnd",41.1875,-83.0625,233.12
35,"port35wnd",41.1875,-82.9375,252.64
36,"port36wnd",41.1875,-82.8125,247.56
37,"port37wnd",41.0625,-83.8125,241.52
38,"port38wnd",41.0625,-83.6875,242.2
39,"port39wnd",41.0625,-83.5625,251.2
40,"port40wnd",41.0625,-83.4375,258.6
41,"port41wnd",41.0625,-83.3125,247.64
42,"port42wnd",41.0625,-83.1875,234.6
43,"port43wnd",41.0625,-83.0625,267.2
44,"port44wnd",41.0625,-82.9375,282.24
45,"port45wnd",41.0625,-82.8125,284.6
