Latitude: 41.779  Longitude: -80.697
X & Y on Lambert Conformal Conic: 1517049.54 99942.99
Tile: 11750
Elevation: 277 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,prcp (mm/day),tmax (deg c),tmin (deg c)
1980,1,0.00,0.50,-2.32
1980,2,1.76,-0.71,-3.18
1980,3,0.00,-1.11,-4.36
1980,4,2.24,-3.15,-8.36
1980,5,0.00,-1.37,-8.78
1980,6,0.00,2.00,-13.94
1980,7,0.00,0.57,-12.30
1980,8,0.00,-3.97,-9.62
1980,9,0.00,-2.00,-11.01
1980,10,5.47,6.18,-12.53
1980,11,8.83,11.89,-9.57
1980,12,0.00,-3.52,-10.34
1980,13,0.00,4.63,-14.24
1980,14,0.00,4.57,-4.99
1980,15,0.00,4.46,-0.98
1980,16,0.00,9.19,-2.80
1980,17,5.47,10.53,-0.01
1980,18,0.00,2.56,-0.14
1980,19,0.00,1.12,-0.65
1980,20,0.00,-0.21,-3.15
1980,21,0.00,1.88,-4.85
1980,22,3.37,1.06,-3.66
1980,23,2.19,-4.46,-7.75
1980,24,1.25,-7.83,-13.59
1980,25,1.31,-2.91,-13.52
1980,26,0.00,-2.88,-9.35
1980,27,0.00,-0.79,-16.93
1980,28,0.00,-5.03,-11.77
1980,29,1.58,-6.57,-13.71
1980,30,0.00,-4.87,-11.18
1980,31,0.00,-7.58,-11.99
1980,32,1.88,-7.73,-13.17
1980,33,0.00,-6.17,-12.53
1980,34,1.17,-5.80,-13.62
1980,35,0.00,-4.67,-13.61
1980,36,0.00,-1.66,-15.37
1980,37,0.00,-0.80,-14.11
1980,38,0.00,-2.14,-12.56
1980,39,0.00,-1.35,-13.29
1980,40,0.00,-1.73,-13.50
1980,41,0.00,-1.14,-15.14
1980,42,2.79,-1.37,-14.12
1980,43,0.00,-2.19,-11.38
1980,44,0.00,-0.29,-14.35
1980,45,0.00,-0.65,-11.32
1980,46,9.05,-2.29,-8.34
1980,47,4.07,-3.93,-7.81
1980,48,0.00,-6.28,-13.41
1980,49,0.00,-0.94,-14.90
1980,50,0.00,8.24,-10.74
1980,51,0.21,7.13,-1.04
1980,52,7.53,5.47,-0.91
1980,53,8.91,8.02,-0.29
1980,54,5.61,3.14,-0.92
1980,55,0.00,1.52,-1.12
1980,56,2.39,1.33,-4.02
1980,57,2.30,-4.37,-13.94
1980,58,2.72,-1.90,-12.97
1980,59,0.00,-4.12,-13.01
1980,60,0.00,-10.35,-19.90
1980,61,0.00,-11.26,-20.59
1980,62,0.00,-8.86,-25.13
1980,63,0.00,0.28,-21.80
1980,64,2.49,5.27,-12.53
1980,65,4.30,4.91,-5.26
1980,66,0.00,1.25,-8.20
1980,67,13.20,4.77,-7.02
1980,68,8.94,2.10,-3.14
1980,69,0.00,3.43,-5.16
1980,70,4.92,10.12,-3.69
1980,71,0.00,-1.75,-8.17
1980,72,0.00,-0.64,-12.62
1980,73,4.35,1.04,-8.47
1980,74,0.00,1.18,-7.03
1980,75,0.00,3.74,-8.04
1980,76,0.00,16.92,-5.14
1980,77,8.51,12.33,0.52
1980,78,0.00,2.48,-2.68
1980,79,0.00,11.97,-3.45
1980,80,6.06,15.24,0.11
1980,81,19.93,11.17,3.11
1980,82,0.00,0.20,-4.47
1980,83,0.00,5.07,-6.11
1980,84,6.06,8.20,-1.89
1980,85,0.00,1.97,-1.30
1980,86,0.00,3.14,-2.44
1980,87,0.00,11.87,-5.09
1980,88,5.85,12.01,-0.85
