,Portage River
0,0.0
1,0.5899999737739563
2,0.0
3,2.109999895095825
4,0.7799999713897705
5,1.059999942779541
6,0.0
7,0.0
8,0.0
9,11.09000015258789
10,8.289999961853027
11,0.0
12,2.549999952316284
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,2.5
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.28999999165534973
36,0.0
37,0.0
38,0.0
39,0.07999999821186066
40,0.0
41,0.0
42,0.0
43,0.0
44,0.3799999952316284
45,6.130000114440918
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,13.289999961853027
52,0.0
53,0.0
54,0.0
55,1.9900000095367432
56,0.0
57,0.3199999928474426
58,0.550000011920929
59,0.0
60,0.0
61,0.0
62,0.0
63,3.630000114440918
64,3.6700000762939453
65,0.0
66,17.360000610351562
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,1.940000057220459
73,0.0
74,0.0
75,7.579999923706055
76,9.869999885559082
77,0.0
78,0.0
79,31.809999465942383
80,10.300000190734863
81,0.0
82,2.2699999809265137
83,9.1899995803833
84,0.0
85,0.0
86,0.0
87,10.75
88,4.510000228881836
89,7.539999961853027
90,5.099999904632568
91,0.0
92,0.0
93,9.180000305175781
94,2.1500000953674316
95,0.0
96,0.0
97,0.5699999928474426
98,7.539999961853027
99,5.53000020980835
100,0.0
101,5.409999847412109
102,0.0
103,12.779999732971191
104,10.699999809265137
105,1.3200000524520874
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,10.069999694824219
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.7900000214576721
129,0.0
130,5.519999980926514
131,4.739999771118164
132,9.180000305175781
133,5.650000095367432
134,0.0
